test_name total_test_iteration time_per_op time_per_op_un size_per_op size_per_op_un allocs_per_op allocs_per_op_un flag1 flag2 exec_time num
BenchmarkHashMapLSGet 500000 2556 ns/op 254 B/op 4 allocs/op ok command-line-arguments 2.226s 100
BenchmarkHashMapLSGet 500000 2534 ns/op 252 B/op 4 allocs/op ok command-line-arguments 2.216s 100
BenchmarkHashMapLSGet 500000 2497 ns/op 252 B/op 4 allocs/op ok command-line-arguments 2.179s 100
BenchmarkHashMapLSGet 500000 2512 ns/op 263 B/op 5 allocs/op ok command-line-arguments 2.191s 1000
BenchmarkHashMapLSGet 500000 2719 ns/op 264 B/op 5 allocs/op ok command-line-arguments 2.304s 1000
BenchmarkHashMapLSGet 500000 2641 ns/op 262 B/op 5 allocs/op ok command-line-arguments 2.282s 1000
BenchmarkHashMapLSGet 500000 2562 ns/op 265 B/op 5 allocs/op ok command-line-arguments 2.272s 1000
BenchmarkHashMapLSGet 500000 2653 ns/op 262 B/op 5 allocs/op ok command-line-arguments 2.331s 1000
BenchmarkHashMapLSGet 500000 2588 ns/op 266 B/op 5 allocs/op ok command-line-arguments 2.323s 1000
BenchmarkHashMapLSGet 500000 2681 ns/op 261 B/op 5 allocs/op ok command-line-arguments 2.276s 1000
BenchmarkHashMapLSGet 500000 2658 ns/op 263 B/op 5 allocs/op ok command-line-arguments 2.307s 1000
BenchmarkHashMapLSGet 500000 2545 ns/op 256 B/op 5 allocs/op ok command-line-arguments 2.287s 1000
BenchmarkHashMapLSGet 500000 2535 ns/op 261 B/op 5 allocs/op ok command-line-arguments 2.257s 1000
BenchmarkHashMapLSGet 500000 2605 ns/op 264 B/op 5 allocs/op ok command-line-arguments 2.269s 1000
BenchmarkHashMapLSGet 500000 2511 ns/op 258 B/op 5 allocs/op ok command-line-arguments 2.209s 1000
BenchmarkHashMapLSGet 500000 2586 ns/op 262 B/op 5 allocs/op ok command-line-arguments 2.278s 1000
BenchmarkHashMapLSGet 500000 2632 ns/op 262 B/op 5 allocs/op ok command-line-arguments 2.259s 1000
BenchmarkHashMapLSGet 500000 2573 ns/op 261 B/op 5 allocs/op ok command-line-arguments 2.246s 1000
BenchmarkHashMapLSGet 500000 2606 ns/op 257 B/op 5 allocs/op ok command-line-arguments 2.254s 1000
BenchmarkHashMapLSGet 500000 2588 ns/op 262 B/op 5 allocs/op ok command-line-arguments 2.293s 1000
BenchmarkHashMapLSGet 500000 2663 ns/op 266 B/op 5 allocs/op ok command-line-arguments 2.289s 1000
BenchmarkHashMapLSGet 500000 2634 ns/op 261 B/op 5 allocs/op ok command-line-arguments 2.299s 1000
BenchmarkHashMapLSGet 500000 2563 ns/op 270 B/op 5 allocs/op ok command-line-arguments 2.255s 1000
BenchmarkHashMapLSGet 500000 2705 ns/op 263 B/op 5 allocs/op ok command-line-arguments 2.287s 1000
BenchmarkHashMapLSGet 500000 2609 ns/op 260 B/op 5 allocs/op ok command-line-arguments 2.243s 1000
BenchmarkHashMapLSGet 500000 2688 ns/op 259 B/op 5 allocs/op ok command-line-arguments 2.355s 1000
BenchmarkHashMapLSGet 500000 2590 ns/op 257 B/op 5 allocs/op ok command-line-arguments 2.300s 1000
BenchmarkHashMapLSGet 500000 2681 ns/op 263 B/op 5 allocs/op ok command-line-arguments 2.307s 1000
BenchmarkHashMapLSGet 500000 2607 ns/op 265 B/op 5 allocs/op ok command-line-arguments 2.298s 1000
BenchmarkHashMapLSGet 500000 2703 ns/op 261 B/op 5 allocs/op ok command-line-arguments 2.312s 1000
BenchmarkHashMapLSGet 500000 2567 ns/op 268 B/op 5 allocs/op ok command-line-arguments 2.244s 1000
BenchmarkHashMapLSGet 500000 2600 ns/op 259 B/op 5 allocs/op ok command-line-arguments 2.248s 1000
BenchmarkHashMapLSGet 500000 2605 ns/op 269 B/op 5 allocs/op ok command-line-arguments 2.331s 1000
BenchmarkHashMapLSGet 500000 2602 ns/op 261 B/op 5 allocs/op ok command-line-arguments 2.247s 1000
BenchmarkHashMapLSGet 500000 2639 ns/op 264 B/op 5 allocs/op ok command-line-arguments 2.327s 1000
BenchmarkHashMapLSGet 500000 2699 ns/op 261 B/op 5 allocs/op ok command-line-arguments 2.300s 1000
BenchmarkHashMapLSGet 500000 2634 ns/op 261 B/op 5 allocs/op ok command-line-arguments 2.307s 1000
BenchmarkHashMapLSGet 500000 2763 ns/op 263 B/op 5 allocs/op ok command-line-arguments 2.344s 1000
BenchmarkHashMapLSGet 500000 2678 ns/op 262 B/op 5 allocs/op ok command-line-arguments 2.340s 1000
BenchmarkHashMapLSGet 500000 2891 ns/op 257 B/op 5 allocs/op ok command-line-arguments 2.477s 1000
BenchmarkHashMapLSGet 500000 2654 ns/op 262 B/op 5 allocs/op ok command-line-arguments 2.355s 1000
BenchmarkHashMapLSGet 500000 2624 ns/op 258 B/op 5 allocs/op ok command-line-arguments 2.318s 1000
BenchmarkHashMapLSGet 500000 2612 ns/op 263 B/op 5 allocs/op ok command-line-arguments 2.270s 1000
BenchmarkHashMapLSGet 500000 2559 ns/op 261 B/op 5 allocs/op ok command-line-arguments 2.232s 1000
BenchmarkHashMapLSGet 500000 2550 ns/op 261 B/op 5 allocs/op ok command-line-arguments 2.218s 1000
BenchmarkHashMapLSGet 500000 2616 ns/op 266 B/op 5 allocs/op ok command-line-arguments 2.275s 1000
BenchmarkHashMapLSGet 500000 2534 ns/op 264 B/op 5 allocs/op ok command-line-arguments 2.226s 1000
BenchmarkHashMapLSGet 500000 2601 ns/op 256 B/op 5 allocs/op ok command-line-arguments 2.243s 1000
BenchmarkHashMapLSGet 500000 2686 ns/op 258 B/op 5 allocs/op ok command-line-arguments 2.357s 1000
BenchmarkHashMapLSGet 500000 2762 ns/op 264 B/op 5 allocs/op ok command-line-arguments 2.364s 1000
BenchmarkHashMapLSGet 500000 2492 ns/op 261 B/op 5 allocs/op ok command-line-arguments 2.273s 1000
BenchmarkHashMapLSGet 500000 2554 ns/op 259 B/op 5 allocs/op ok command-line-arguments 2.203s 1000
BenchmarkHashMapLSGet 500000 2609 ns/op 260 B/op 5 allocs/op ok command-line-arguments 2.294s 1000
BenchmarkHashMapLSGet 500000 2627 ns/op 259 B/op 5 allocs/op ok command-line-arguments 2.263s 1000
BenchmarkHashMapLSGet 500000 2652 ns/op 269 B/op 6 allocs/op ok command-line-arguments 2.376s 10000
BenchmarkHashMapLSGet 500000 2647 ns/op 276 B/op 6 allocs/op ok command-line-arguments 2.338s 10000
BenchmarkHashMapLSGet 500000 2618 ns/op 265 B/op 6 allocs/op ok command-line-arguments 2.339s 10000
BenchmarkHashMapLSGet 500000 2735 ns/op 266 B/op 6 allocs/op ok command-line-arguments 2.410s 10000
BenchmarkHashMapLSGet 500000 2805 ns/op 269 B/op 6 allocs/op ok command-line-arguments 2.380s 10000
BenchmarkHashMapLSGet 500000 2579 ns/op 275 B/op 6 allocs/op ok command-line-arguments 2.279s 10000
BenchmarkHashMapLSGet 500000 2640 ns/op 276 B/op 6 allocs/op ok command-line-arguments 2.313s 10000
BenchmarkHashMapLSGet 500000 2593 ns/op 270 B/op 6 allocs/op ok command-line-arguments 2.270s 10000
BenchmarkHashMapLSGet 500000 2574 ns/op 266 B/op 6 allocs/op ok command-line-arguments 2.293s 10000
BenchmarkHashMapLSGet 500000 2546 ns/op 268 B/op 6 allocs/op ok command-line-arguments 2.266s 10000
BenchmarkHashMapLSGet 500000 2644 ns/op 267 B/op 6 allocs/op ok command-line-arguments 2.287s 10000
BenchmarkHashMapLSGet 500000 2666 ns/op 275 B/op 6 allocs/op ok command-line-arguments 2.322s 10000
BenchmarkHashMapLSGet 500000 2575 ns/op 264 B/op 6 allocs/op ok command-line-arguments 2.263s 10000
BenchmarkHashMapLSGet 500000 2660 ns/op 270 B/op 6 allocs/op ok command-line-arguments 2.322s 10000
BenchmarkHashMapLSGet 500000 2604 ns/op 271 B/op 6 allocs/op ok command-line-arguments 2.277s 10000
BenchmarkHashMapLSGet 500000 2554 ns/op 266 B/op 6 allocs/op ok command-line-arguments 2.242s 10000
BenchmarkHashMapLSGet 500000 2545 ns/op 269 B/op 6 allocs/op ok command-line-arguments 2.286s 10000
BenchmarkHashMapLSGet 500000 2632 ns/op 268 B/op 6 allocs/op ok command-line-arguments 2.326s 10000
BenchmarkHashMapLSGet 500000 2622 ns/op 268 B/op 6 allocs/op ok command-line-arguments 2.289s 10000
BenchmarkHashMapLSGet 500000 2569 ns/op 266 B/op 6 allocs/op ok command-line-arguments 2.272s 10000
BenchmarkHashMapLSGet 500000 2579 ns/op 275 B/op 6 allocs/op ok command-line-arguments 2.287s 10000
BenchmarkHashMapLSGet 500000 2612 ns/op 264 B/op 6 allocs/op ok command-line-arguments 2.329s 10000
BenchmarkHashMapLSGet 500000 2777 ns/op 272 B/op 6 allocs/op ok command-line-arguments 2.416s 10000
BenchmarkHashMapLSGet 500000 2691 ns/op 264 B/op 6 allocs/op ok command-line-arguments 2.374s 10000
BenchmarkHashMapLSGet 500000 2697 ns/op 273 B/op 6 allocs/op ok command-line-arguments 2.380s 10000
BenchmarkHashMapLSGet 500000 2693 ns/op 272 B/op 6 allocs/op ok command-line-arguments 2.337s 10000
BenchmarkHashMapLSGet 500000 2659 ns/op 267 B/op 6 allocs/op ok command-line-arguments 2.329s 10000
BenchmarkHashMapLSGet 500000 2526 ns/op 270 B/op 6 allocs/op ok command-line-arguments 2.279s 10000
BenchmarkHashMapLSGet 500000 2575 ns/op 273 B/op 6 allocs/op ok command-line-arguments 2.329s 10000
BenchmarkHashMapLSGet 500000 2646 ns/op 274 B/op 6 allocs/op ok command-line-arguments 2.340s 10000
BenchmarkHashMapLSGet 500000 2602 ns/op 275 B/op 6 allocs/op ok command-line-arguments 2.298s 10000
BenchmarkHashMapLSGet 500000 2751 ns/op 267 B/op 6 allocs/op ok command-line-arguments 2.375s 10000
BenchmarkHashMapLSGet 500000 2595 ns/op 272 B/op 6 allocs/op ok command-line-arguments 2.327s 10000
BenchmarkHashMapLSGet 500000 2614 ns/op 276 B/op 6 allocs/op ok command-line-arguments 2.306s 10000
BenchmarkHashMapLSGet 500000 2742 ns/op 272 B/op 6 allocs/op ok command-line-arguments 2.354s 10000
BenchmarkHashMapLSGet 500000 2638 ns/op 267 B/op 6 allocs/op ok command-line-arguments 2.329s 10000
BenchmarkHashMapLSGet 500000 2683 ns/op 264 B/op 6 allocs/op ok command-line-arguments 2.390s 10000
BenchmarkHashMapLSGet 500000 2621 ns/op 269 B/op 6 allocs/op ok command-line-arguments 2.357s 10000
BenchmarkHashMapLSGet 500000 2631 ns/op 271 B/op 6 allocs/op ok command-line-arguments 2.292s 10000
BenchmarkHashMapLSGet 500000 2730 ns/op 268 B/op 6 allocs/op ok command-line-arguments 2.361s 10000
BenchmarkHashMapLSGet 500000 2685 ns/op 278 B/op 6 allocs/op ok command-line-arguments 2.343s 10000
BenchmarkHashMapLSGet 500000 2820 ns/op 270 B/op 6 allocs/op ok command-line-arguments 2.171s 10000
BenchmarkHashMapLSGet 500000 2746 ns/op 265 B/op 6 allocs/op ok command-line-arguments 2.392s 10000
BenchmarkHashMapLSGet 500000 2656 ns/op 270 B/op 6 allocs/op ok command-line-arguments 2.339s 10000
BenchmarkHashMapLSGet 500000 2677 ns/op 269 B/op 6 allocs/op ok command-line-arguments 2.400s 10000
BenchmarkHashMapLSGet 500000 2700 ns/op 268 B/op 6 allocs/op ok command-line-arguments 2.354s 10000
BenchmarkHashMapLSGet 500000 2627 ns/op 272 B/op 6 allocs/op ok command-line-arguments 2.331s 10000
BenchmarkHashMapLSGet 500000 2625 ns/op 274 B/op 6 allocs/op ok command-line-arguments 2.318s 10000
BenchmarkHashMapLSGet 500000 2659 ns/op 274 B/op 6 allocs/op ok command-line-arguments 2.312s 10000
BenchmarkHashMapLSGet 500000 2650 ns/op 271 B/op 6 allocs/op ok command-line-arguments 2.329s 10000
BenchmarkHashMapLSGet 500000 2656 ns/op 265 B/op 6 allocs/op ok command-line-arguments 2.354s 10000
BenchmarkHashMapLSGet 500000 2882 ns/op 330 B/op 8 allocs/op ok command-line-arguments 3.178s 100000
BenchmarkHashMapLSGet 500000 2741 ns/op 334 B/op 8 allocs/op ok command-line-arguments 3.175s 100000
BenchmarkHashMapLSGet 500000 2777 ns/op 338 B/op 8 allocs/op ok command-line-arguments 3.151s 100000
BenchmarkHashMapLSGet 500000 2775 ns/op 338 B/op 8 allocs/op ok command-line-arguments 3.162s 100000
BenchmarkHashMapLSGet 500000 2853 ns/op 336 B/op 8 allocs/op ok command-line-arguments 3.198s 100000
BenchmarkHashMapLSGet 500000 2791 ns/op 334 B/op 8 allocs/op ok command-line-arguments 3.190s 100000
BenchmarkHashMapLSGet 500000 2805 ns/op 332 B/op 8 allocs/op ok command-line-arguments 3.176s 100000
BenchmarkHashMapLSGet 500000 2848 ns/op 333 B/op 8 allocs/op ok command-line-arguments 3.234s 100000
BenchmarkHashMapLSGet 500000 2928 ns/op 335 B/op 8 allocs/op ok command-line-arguments 3.285s 100000
BenchmarkHashMapLSGet 500000 3015 ns/op 330 B/op 8 allocs/op ok command-line-arguments 3.186s 100000
BenchmarkHashMapLSGet 500000 2876 ns/op 333 B/op 8 allocs/op ok command-line-arguments 3.325s 100000
BenchmarkHashMapLSGet 500000 2849 ns/op 332 B/op 8 allocs/op ok command-line-arguments 3.266s 100000
BenchmarkHashMapLSGet 500000 2889 ns/op 340 B/op 8 allocs/op ok command-line-arguments 3.209s 100000
BenchmarkHashMapLSGet 500000 2903 ns/op 330 B/op 8 allocs/op ok command-line-arguments 3.260s 100000
BenchmarkHashMapLSGet 500000 2954 ns/op 331 B/op 8 allocs/op ok command-line-arguments 3.255s 100000
BenchmarkHashMapLSGet 500000 2801 ns/op 330 B/op 8 allocs/op ok command-line-arguments 3.197s 100000
BenchmarkHashMapLSGet 500000 2783 ns/op 331 B/op 8 allocs/op ok command-line-arguments 3.208s 100000
BenchmarkHashMapLSGet 500000 2801 ns/op 335 B/op 8 allocs/op ok command-line-arguments 3.210s 100000
BenchmarkHashMapLSGet 500000 2872 ns/op 353 B/op 8 allocs/op ok command-line-arguments 2.245s 100000
BenchmarkHashMapLSGet 500000 2787 ns/op 338 B/op 8 allocs/op ok command-line-arguments 3.157s 100000
BenchmarkHashMapLSGet 500000 2859 ns/op 337 B/op 8 allocs/op ok command-line-arguments 3.229s 100000
BenchmarkHashMapLSGet 500000 2760 ns/op 333 B/op 8 allocs/op ok command-line-arguments 3.142s 100000
BenchmarkHashMapLSGet 500000 2857 ns/op 334 B/op 8 allocs/op ok command-line-arguments 3.250s 100000
BenchmarkHashMapLSGet 500000 2841 ns/op 333 B/op 8 allocs/op ok command-line-arguments 3.248s 100000
BenchmarkHashMapLSGet 500000 2802 ns/op 337 B/op 8 allocs/op ok command-line-arguments 3.198s 100000
BenchmarkHashMapLSGet 500000 2753 ns/op 335 B/op 8 allocs/op ok command-line-arguments 3.161s 100000
BenchmarkHashMapLSGet 500000 2750 ns/op 332 B/op 8 allocs/op ok command-line-arguments 3.139s 100000
BenchmarkHashMapLSGet 500000 2778 ns/op 336 B/op 8 allocs/op ok command-line-arguments 3.156s 100000
BenchmarkHashMapLSGet 500000 2767 ns/op 337 B/op 8 allocs/op ok command-line-arguments 3.000s 100000
BenchmarkHashMapLSGet 500000 2849 ns/op 334 B/op 8 allocs/op ok command-line-arguments 3.226s 100000
BenchmarkHashMapLSGet 500000 2719 ns/op 341 B/op 8 allocs/op ok command-line-arguments 3.141s 100000
BenchmarkHashMapLSGet 500000 2860 ns/op 332 B/op 8 allocs/op ok command-line-arguments 3.289s 100000
BenchmarkHashMapLSGet 500000 2765 ns/op 351 B/op 8 allocs/op ok command-line-arguments 2.194s 100000
BenchmarkHashMapLSGet 500000 2797 ns/op 336 B/op 8 allocs/op ok command-line-arguments 3.138s 100000
BenchmarkHashMapLSGet 500000 2697 ns/op 336 B/op 8 allocs/op ok command-line-arguments 2.493s 100000
BenchmarkHashMapLSGet 500000 2741 ns/op 338 B/op 8 allocs/op ok command-line-arguments 3.177s 100000
BenchmarkHashMapLSGet 500000 2764 ns/op 331 B/op 8 allocs/op ok command-line-arguments 3.160s 100000
BenchmarkHashMapLSGet 500000 2864 ns/op 336 B/op 8 allocs/op ok command-line-arguments 3.222s 100000
BenchmarkHashMapLSGet 500000 2800 ns/op 334 B/op 8 allocs/op ok command-line-arguments 3.223s 100000
BenchmarkHashMapLSGet 500000 2773 ns/op 332 B/op 8 allocs/op ok command-line-arguments 3.218s 100000
BenchmarkHashMapLSGet 500000 2861 ns/op 330 B/op 8 allocs/op ok command-line-arguments 3.216s 100000
BenchmarkHashMapLSGet 500000 2886 ns/op 337 B/op 8 allocs/op ok command-line-arguments 3.236s 100000
BenchmarkHashMapLSGet 500000 2863 ns/op 332 B/op 8 allocs/op ok command-line-arguments 3.253s 100000
BenchmarkHashMapLSGet 500000 2895 ns/op 331 B/op 8 allocs/op ok command-line-arguments 3.145s 100000
BenchmarkHashMapLSGet 500000 2968 ns/op 331 B/op 8 allocs/op ok command-line-arguments 3.292s 100000
BenchmarkHashMapLSGet 500000 2935 ns/op 334 B/op 8 allocs/op ok command-line-arguments 3.261s 100000
BenchmarkHashMapLSGet 500000 2850 ns/op 330 B/op 8 allocs/op ok command-line-arguments 3.155s 100000
BenchmarkHashMapLSGet 500000 2850 ns/op 338 B/op 8 allocs/op ok command-line-arguments 2.853s 100000
BenchmarkHashMapLSGet 500000 2883 ns/op 332 B/op 8 allocs/op ok command-line-arguments 3.334s 100000
BenchmarkHashMapLSGet 500000 2873 ns/op 332 B/op 8 allocs/op ok command-line-arguments 3.299s 100000
BenchmarkHashMapLSGet 500000 2946 ns/op 331 B/op 8 allocs/op ok command-line-arguments 3.303s 100000
